zip3_route,pickup_zip5,dropoff_zip5,pickup_airport_code,dropoff_airport_code,min_competitor_rate,competitor_carrier_name,min_warp_rate,pct_difference
761-770,76140,77020,DFW,IAH,165.43,XPO,225.2,36.13
761-782,76155,78219,DFW,SAT,168.1,XPO,243.0,44.55
770-070,77073,07004,IAH,EWR,345.19,ABF Freight,272.2,-21.15
770-113,77016,11378,IAH,JFK,328.13,ABF Freight,269.2,-17.96
770-300,77092,30071,IAH,ATL,174.96,Daylight Transport,198.2,13.28
770-302,77041,30297,IAH,ATL,168.48,DAYLIGHT TRANSPORT,211.2,25.36
770-328,77016,32824,IAH,MCO,247.38,Forward,212.6,-14.06
770-330,77001,33014,IAH,MIA,274.77,XPO,208.0,-24.3
770-331,77041,33182,IAH,MIA,302.79,Forward,230.0,-24.04
770-601,77041,60106,IAH,ORD,217.58,Forward,213.16,-2.03
770-605,77033,60502,IAH,ORD,226.1,Daylight Transport,249.16,10.2
770-700,77087,70037,IAH,MSY,201.6,FedEx Priority,237.0,17.56
770-703,77087,70380,IAH,MSY,201.6,FedEx Priority,237.0,17.56
770-704,77033,70403,IAH,MSY,193.01,R&L Carriers,236.0,22.27
770-705,77041,70518,IAH,LFT,192.15,Averitt Express,233.0,21.26
770-708,77071,70815,IAH,BTR,186.51,Averitt Express,233.0,24.93
770-750,77071,75006,IAH,DFW,137.45,Forward,199.0,44.78
770-751,77071,75149,IAH,DFW,144.01,Forward,215.0,49.29
770-752,77021,75208,IAH,DFW,141.38,Forward,200.0,41.46
770-760,77075,76092,IAH,DFW,151.87,Forward,209.0,37.62
770-761,77033,76119,IAH,DFW,132.21,Forward,208.0,57.33
770-770,77041,77020,IAH,IAH,140.45,Forward,122.0,-13.14
770-773,77071,77373,IAH,IAH,136.49,Daylight Transport,141.0,3.31
770-774,77071,77477,IAH,IAH,166.62,Averitt Express,131.0,-21.38
770-775,77075,77571,IAH,IAH,136.49,Daylight Transport,160.0,17.23
770-780,77032,78028,IAH,SAT,163.34,XPO,263.0,61.02
770-781,77032,78130,IAH,SAT,163.05,XPO,195.0,19.59
770-782,77092,78232,IAH,SAT,168.98,XPO,149.0,-11.82
770-786,77020,78640,IAH,AUS,163.05,XPO,218.2,33.82
770-787,77041,78758,IAH,AUS,163.05,XPO,231.2,41.79
770-799,77085,79928,IAH,ELP,199.03,XPO,282.2,41.79
770-802,77070,80239,IAH,DEN,263.6,XPO,253.24,-3.93
770-850,77021,85028,IAH,PHX,267.83,Forward,349.8,30.61
770-900,77036,90057,IAH,LAX,286.33,XPO,315.8,10.29
770-902,77041,90221,IAH,LAX,286.33,XPO,324.8,13.44
770-917,77033,91730,IAH,LAX,287.11,XPO,351.8,22.53
770-945,77086,94565,IAH,SFO,307.95,XPO,380.8,23.66
773-113,77338,11378,IAH,JFK,375.91,XPO,282.2,-24.93
773-221,77338,22191,IAH,IAD,311.69,Forward,237.6,-23.77
773-302,77338,30213,IAH,ATL,174.17,Daylight Transport,226.2,29.88
773-331,77375,33182,IAH,MIA,286.8,Averitt Express,246.0,-14.23
773-770,77338,77020,IAH,IAH,136.49,Daylight Transport,137.0,0.38
773-917,77338,91730,IAH,LAX,287.11,XPO,363.8,26.71
774-070,77494,07064,IAH,EWR,299.65,XPO,265.2,-11.5
774-302,77494,30297,IAH,ATL,203.78,XPO,228.2,11.98
774-331,77494,33166,IAH,MIA,300.27,XPO,240.0,-20.07
774-600,77494,60010,IAH,ORD,245.13,XPO,258.16,5.31
774-750,77477,75006,IAH,DFW,164.24,XPO,204.0,24.21
774-751,77494,75126,IAH,DFW,164.54,XPO,244.0,48.3
774-752,77489,75229,IAH,DFW,164.54,XPO,203.0,23.38
774-760,77489,76051,IAH,DFW,178.8,XPO,199.0,11.3
774-761,77489,76177,IAH,DFW,178.81,XPO,217.0,21.36
774-770,77477,77020,IAH,IAH,160.77,Averitt Express,127.0,-21.0
774-773,77489,77301,IAH,IAH,171.94,Averitt Express,171.0,-0.55
774-774,77494,77493,IAH,IAH,182.05,XPO,164.0,-9.91
774-782,77494,78260,IAH,SAT,163.34,XPO,196.0,20.0
774-786,77489,78660,IAH,AUS,163.35,XPO,236.2,44.6
774-787,77489,78734,IAH,AUS,163.35,XPO,236.2,44.6
774-799,77494,79928,IAH,ELP,199.02,XPO,299.2,50.33
774-917,77478,91730,IAH,LAX,287.68,XPO,354.8,23.33
774-923,77494,92337,IAH,LAX,245.91,XPO,371.8,51.2
775-331,77507,33182,IAH,MIA,284.34,Averitt Express,258.0,-9.26
775-770,77507,77020,IAH,IAH,160.76,Averitt Express,150.0,-6.69
782-770,78219,77032,SAT,IAH,168.1,XPO,262.2,55.97
786-770,78634,77008,AUS,IAH,168.1,XPO,249.2,48.24
786-917,78610,91730,AUS,LAX,301.47,XPO,386.4,28.17
787-331,78744,33182,AUS,MIA,310.98,Averitt Express,267.6,-13.95
787-770,78767,77052,AUS,IAH,168.09,XPO,255.2,51.82
799-331,79936,33126,ELP,MIA,338.91,Averitt Express,281.6,-16.91
799-770,79936,77032,ELP,IAH,197.63,XPO,291.2,47.34
841-840,84104,84059,SLC,SLC,135.05,North Park Transportation,141.0,4.41
850-331,85026,33101,PHX,MIA,392.41,XPO,342.2,-12.8
850-770,85043,77020,PHX,IAH,268.95,XPO,321.8,19.65
850-902,85043,90221,PHX,LAX,170.46,Forward,173.0,1.49
852-331,85258,33182,PHX,MIA,313.23,XPO,365.2,16.59
852-902,85283,90221,PHX,LAX,170.46,Forward,199.0,16.74
891-891,89115,89115,LAS,LAS,131.76,Forward,144.0,9.29
891-902,89118,90221,LAS,LAX,207.83,R&L Carriers,179.0,-13.87
891-917,89115,91730,LAS,LAX,197.14,Forward,221.0,12.1
900-070,90010,07047,LAX,EWR,374.0,Forward,408.0,9.09
900-100,90001,10001,LAX,JFK,570.39,Forward,410.0,-28.12
900-113,90058,11378,LAX,JFK,479.29,ABF Freight,413.0,-13.83
900-221,90058,22191,LAX,IAD,426.5,Forward,313.8,-26.42
900-300,90058,30024,LAX,ATL,375.55,XPO,318.8,-15.11
900-302,90058,30213,LAX,ATL,375.56,XPO,308.8,-17.78
900-328,90058,32824,LAX,MCO,303.92,XPO,301.8,-0.7
900-330,90058,33062,LAX,MIA,333.06,XPO,332.2,-0.26
900-331,90015,33166,LAX,MIA,399.78,XPO,313.2,-21.66
900-600,90040,60007,LAX,ORD,270.47,XPO,246.24,-8.96
900-601,90058,60191,LAX,ORD,260.23,XPO,237.24,-8.84
900-605,90058,60502,LAX,ORD,325.05,Forward,268.24,-17.48
900-606,90021,60632,LAX,ORD,260.66,XPO,256.24,-1.7
900-750,90058,75074,LAX,DFW,281.73,XPO,321.0,13.94
900-752,90058,75229,LAX,DFW,282.27,XPO,301.0,6.63
900-761,90058,76119,LAX,DFW,316.8,XPO,308.0,-2.78
900-770,90058,77036,LAX,IAH,243.56,XPO,300.0,23.17
900-802,90040,80239,LAX,DEN,299.5,Forward,251.0,-16.19
900-840,90003,84087,LAX,SLC,248.4,Forward,203.0,-18.28
900-841,90011,84115,LAX,SLC,236.9,XPO,186.0,-21.49
900-850,90023,85043,LAX,PHX,219.4,R&L Carriers,176.0,-19.78
900-852,90058,85260,LAX,PHX,219.4,R&L Carriers,211.0,-3.83
900-890,90058,89032,LAX,LAS,215.55,R&L Carriers,180.0,-16.49
900-891,90058,89118,LAX,LAS,215.02,R&L Carriers,168.0,-21.87
900-900,90022,90008,LAX,LAX,178.32,XPO,86.0,-51.77
900-902,90038,90221,LAX,LAX,191.38,XPO,89.0,-53.5
900-917,90058,91730,LAX,LAX,171.19,XPO,110.0,-35.75
900-920,90040,92064,LAX,SAN,188.1,XPO,142.0,-24.51
900-921,90058,92154,LAX,SAN,187.82,XPO,172.0,-8.42
900-923,90022,92337,LAX,LAX,188.1,XPO,117.0,-37.8
900-925,90045,92507,LAX,LAX,208.15,XPO,135.0,-35.14
900-926,90045,92618,LAX,LAX,188.11,XPO,121.0,-35.68
900-941,90058,94124,LAX,SFO,241.92,Forward,184.0,-23.94
900-945,90058,94577,LAX,SFO,186.76,Forward,174.0,-6.83
900-980,90040,98032,LAX,SEA,311.26,Forward,225.0,-27.71
900-984,90058,98499,LAX,SEA,311.26,Forward,229.0,-26.43
902-070,90220,07006,LAX,EWR,374.0,Forward,409.0,9.36
902-113,90248,11378,LAX,JFK,568.99,ABF Freight,421.0,-26.01
902-300,90210,30096,LAX,ATL,375.56,XPO,330.8,-11.92
902-330,90220,33069,LAX,MIA,395.31,XPO,335.2,-15.21
902-331,90220,33178,LAX,MIA,342.32,XPO,327.2,-4.42
902-601,90221,60191,LAX,ORD,265.3,XPO,243.24,-8.32
902-750,90248,75081,LAX,DFW,281.73,XPO,321.0,13.94
902-752,90220,75237,LAX,DFW,282.27,XPO,312.0,10.53
902-770,90220,77071,LAX,IAH,273.02,XPO,311.0,13.91
902-802,90220,80202,LAX,DEN,288.24,Forward,257.0,-10.84
902-840,90255,84043,LAX,SLC,250.4,Forward,214.0,-14.54
902-841,90220,84104,LAX,SLC,246.39,Forward,199.0,-19.23
902-844,90248,84404,LAX,SLC,247.73,XPO,250.0,0.92
902-850,90220,85043,LAX,PHX,218.87,R&L Carriers,184.0,-15.93
902-852,90255,85260,LAX,PHX,218.87,R&L Carriers,212.0,-3.14
902-853,90220,85338,LAX,PHX,219.4,R&L Carriers,191.0,-12.95
902-890,90220,89030,LAX,LAS,215.55,R&L Carriers,187.0,-13.25
902-891,90220,89118,LAX,LAS,215.02,R&L Carriers,175.0,-18.61
902-900,90220,90001,LAX,LAX,178.32,XPO,89.0,-50.09
902-902,90220,90221,LAX,LAX,178.32,XPO,93.0,-47.85
902-906,90220,90670,LAX,LAX,179.08,XPO,95.0,-46.95
902-913,90220,91311,LAX,LAX,173.36,XPO,110.0,-36.55
902-917,90248,91730,LAX,LAX,171.18,XPO,118.0,-31.07
902-920,90248,92064,LAX,SAN,188.11,XPO,148.0,-21.32
902-921,90220,92154,LAX,SAN,166.75,Forward,179.0,7.35
902-923,90220,92337,LAX,LAX,205.16,XPO,123.0,-40.05
902-925,90220,92551,LAX,LAX,188.1,XPO,138.0,-26.63
902-926,90255,92618,LAX,LAX,187.82,XPO,111.0,-40.9
902-928,90221,92806,LAX,LAX,188.1,XPO,106.0,-43.65
902-940,90255,94087,LAX,SFO,224.79,R&L Carriers,185.0,-17.7
902-941,90255,94114,LAX,SFO,201.71,Forward,185.0,-8.29
902-945,90249,94545,LAX,SFO,231.47,R&L Carriers,182.0,-21.37
902-951,90220,95112,LAX,SFO,228.03,R&L Carriers,191.0,-16.24
902-956,90255,95624,LAX,SMF,233.37,R&L Carriers,175.0,-25.01
902-958,90248,95828,LAX,SMF,210.87,Forward,172.0,-18.43
902-980,90220,98032,LAX,SEA,311.26,Forward,230.0,-26.11
906-070,90660,07072,LAX,EWR,374.19,Forward,414.0,10.64
906-088,90660,08817,LAX,EWR,410.6,XPO,393.0,-4.29
906-113,90670,11378,LAX,JFK,578.0,ABF Freight,421.0,-27.16
906-221,90660,22191,LAX,IAD,523.4,XPO,318.8,-39.09
906-300,90670,30093,LAX,ATL,374.79,XPO,316.8,-15.47
906-302,90660,30213,LAX,ATL,374.79,XPO,313.8,-16.27
906-328,90670,32824,LAX,MCO,319.24,XPO,309.8,-2.96
906-330,90670,33055,LAX,MIA,346.82,XPO,310.2,-10.56
906-331,90670,33178,LAX,MIA,338.3,XPO,328.2,-2.98
906-333,90670,33317,LAX,MIA,319.49,XPO,323.2,1.16
906-334,90660,33487,LAX,MIA,320.13,XPO,349.2,9.08
906-342,90670,34239,LAX,TPA,315.52,XPO,363.2,15.11
906-372,90660,37207,LAX,BNA,309.31,XPO,323.8,4.69
906-462,90660,46268,LAX,IND,285.41,XPO,272.84,-4.4
906-600,90670,60007,LAX,ORD,274.91,XPO,252.24,-8.25
906-601,90670,60188,LAX,ORD,273.45,XPO,259.24,-5.2
906-605,90660,60502,LAX,ORD,325.26,Forward,273.24,-15.99
906-704,90660,70403,LAX,MSY,348.64,XPO,339.0,-2.76
906-750,90660,75074,LAX,DFW,281.73,XPO,326.0,15.71
906-752,90670,75234,LAX,DFW,282.27,XPO,308.0,9.11
906-761,90660,76119,LAX,DFW,316.8,XPO,313.0,-1.2
906-770,90660,77036,LAX,IAH,231.74,XPO,305.0,31.62
906-774,90670,77477,LAX,IAH,232.11,XPO,317.0,36.57
906-782,90660,78219,LAX,SAT,303.1,XPO,293.0,-3.33
906-799,90660,79924,LAX,ELP,261.54,FedEx Economy,395.4,51.18
906-802,90660,80239,LAX,DEN,274.97,Forward,254.0,-7.63
906-840,90670,84020,LAX,SLC,263.94,Forward,214.0,-18.92
906-841,90670,84116,LAX,SLC,253.77,XPO,192.0,-24.34
906-850,90670,85031,LAX,PHX,203.07,Forward,190.0,-6.44
906-852,90670,85282,LAX,PHX,203.07,Forward,209.0,2.92
906-891,90670,89118,LAX,LAS,201.35,Forward,176.0,-12.59
906-900,90670,90040,LAX,LAX,178.33,XPO,91.0,-48.97
906-902,90670,90220,LAX,LAX,178.32,XPO,96.0,-46.16
906-917,90670,91730,LAX,LAX,109.15,GlovaLink,118.0,8.11
906-920,90670,92064,LAX,SAN,187.82,XPO,148.0,-21.2
906-921,90670,92154,LAX,SAN,159.01,Forward,180.0,13.2
906-923,90670,92337,LAX,LAX,197.05,Forward,124.0,-37.07
906-925,90621,92551,LAX,LAX,188.1,XPO,144.0,-23.44
906-945,90670,94545,LAX,SFO,231.47,R&L Carriers,182.0,-21.37
906-958,90660,95828,LAX,SMF,233.37,R&L Carriers,169.0,-27.58
906-980,90670,98002,LAX,SEA,314.58,R&L Carriers,227.0,-27.84
906-984,90660,98499,LAX,SEA,313.63,R&L Carriers,234.0,-25.39
907-113,90745,11378,LAX,JFK,602.3,Forward,425.0,-29.44
907-331,90746,33178,LAX,MIA,389.83,XPO,328.2,-15.81
907-770,90745,77055,LAX,IAH,270.86,XPO,300.0,10.76
907-902,90740,90221,LAX,LAX,178.59,XPO,104.0,-41.77
907-917,90745,91730,LAX,LAX,171.18,XPO,122.0,-28.73
908-917,90810,91730,LAX,LAX,184.37,XPO,123.0,-33.29
908-928,90810,92804,LAX,LAX,188.1,XPO,109.0,-42.05
913-331,91355,33178,LAX,MIA,425.89,XPO,346.2,-18.71
913-902,91355,90220,LAX,LAX,173.81,XPO,114.0,-34.41
913-917,91306,91730,LAX,LAX,179.76,XPO,129.0,-28.24
917-070,91761,07002,LAX,EWR,484.46,R&L Carriers,435.0,-10.21
917-076,91761,07647,LAX,EWR,492.13,FedEx Economy,454.0,-7.75
917-077,91702,07762,LAX,EWR,359.62,XPO,439.0,22.07
917-080,91748,08016,LAX,PHL,407.22,ABF Freight,436.0,7.07
917-085,91748,08512,LAX,EWR,407.48,ABF Freight,415.0,1.85
917-087,91789,08701,LAX,EWR,409.75,ABF Freight,434.0,5.92
917-088,91708,08812,LAX,EWR,388.99,XPO,412.0,5.92
917-100,91761,10001,LAX,JFK,572.68,ABF Freight,440.0,-23.17
917-105,91748,10509,LAX,SWF,498.02,ABF Freight,480.0,-3.62
917-112,91710,11220,LAX,JFK,638.06,FedEx Economy,438.0,-31.35
917-113,91761,11378,LAX,JFK,573.99,ABF Freight,444.0,-22.65
917-114,91748,11423,LAX,JFK,556.48,ABF Freight,447.0,-19.67
917-115,91761,11590,LAX,JFK,558.9,FedEx Economy,471.0,-15.73
917-117,91761,11735,LAX,JFK,556.83,FedEx Economy,480.0,-13.8
917-180,91761,18064,LAX,ABE,393.81,XPO,450.0,14.27
917-190,91706,19020,LAX,PHL,361.0,XPO,433.0,19.94
917-191,91752,19154,LAX,PHL,353.99,XPO,457.0,29.1
917-197,91761,19720,LAX,PHL,330.48,XPO,502.0,51.9
917-201,91752,20166,LAX,IAD,398.39,XPO,348.8,-12.45
917-207,91748,20721,LAX,BWI,335.15,XPO,360.4,7.53
917-208,91761,20852,LAX,BWI,317.03,XPO,385.4,21.57
917-210,91748,21093,LAX,BWI,345.78,XPO,370.4,7.12
917-212,91761,21206,LAX,BWI,306.02,XPO,365.4,19.4
917-221,91761,22191,LAX,IAD,412.93,XPO,344.8,-16.5
917-272,91761,27260,LAX,GSO,310.15,XPO,351.44,13.31
917-275,91752,27524,LAX,RDU,369.57,XPO,415.44,12.41
917-280,91733,28027,LAX,CLT,342.23,XPO,334.44,-2.28
917-281,91789,28134,LAX,CLT,289.68,XPO,311.44,7.51
917-282,91752,28214,LAX,CLT,359.83,XPO,338.44,-5.95
917-283,91710,28310,LAX,RDU,373.71,XPO,419.44,12.24
917-296,91752,29651,LAX,GSP,341.89,Forward,323.44,-5.4
917-300,91752,30043,LAX,ATL,285.22,XPO,353.8,24.04
917-301,91710,30168,LAX,ATL,325.33,XPO,335.8,3.22
917-302,91761,30213,LAX,ATL,310.34,XPO,339.8,9.49
917-303,91762,30336,LAX,ATL,276.33,XPO,334.8,21.16
917-305,91761,30518,LAX,ATL,325.25,XPO,349.8,7.55
917-321,91710,32114,LAX,MCO,359.32,XPO,392.8,9.32
917-327,91789,32750,LAX,MCO,359.32,XPO,338.8,-5.71
917-328,91761,32824,LAX,MCO,358.6,XPO,332.8,-7.2
917-329,91761,32904,LAX,MCO,359.32,XPO,393.8,9.6
917-330,91761,33014,LAX,MIA,323.53,XPO,338.2,4.53
917-331,91761,33178,LAX,MIA,347.47,XPO,351.2,1.07
917-333,91761,33317,LAX,MIA,345.14,XPO,346.2,0.31
917-334,91761,33432,LAX,MIA,323.54,XPO,370.2,14.42
917-335,91761,33556,LAX,TPA,324.17,XPO,364.2,12.35
917-336,91710,33634,LAX,TPA,387.34,XPO,348.2,-10.1
917-337,91761,33777,LAX,TPA,394.27,XPO,362.2,-8.13
917-338,91761,33823,LAX,MCO,373.81,XPO,376.2,0.64
917-339,91761,33913,LAX,TPA,335.73,XPO,459.2,36.78
917-341,91761,34104,LAX,TPA,364.82,XPO,478.2,31.08
917-342,91761,34229,LAX,TPA,329.57,XPO,392.2,19.0
917-344,91761,34450,LAX,TPA,367.19,XPO,402.2,9.53
917-346,91761,34602,LAX,TPA,345.57,XPO,377.2,9.15
917-347,91761,34711,LAX,MCO,362.51,XPO,358.8,-1.02
917-349,91761,34953,LAX,MIA,357.82,XPO,438.2,22.46
917-370,91746,37067,LAX,BNA,292.0,XPO,328.8,12.6
917-372,91761,37207,LAX,BNA,279.03,XPO,349.8,25.36
917-381,91748,38118,LAX,MEM,289.03,XPO,319.8,10.64
917-402,91761,40229,LAX,SDF,289.25,XPO,300.24,3.8
917-410,91761,41048,LAX,CVG,287.47,XPO,300.24,4.44
917-430,91761,43074,LAX,CMH,313.27,XPO,352.84,12.63
917-431,91710,43123,LAX,CMH,313.58,XPO,301.84,-3.74
917-432,91761,43228,LAX,CMH,300.61,XPO,301.84,0.41
917-450,91748,45069,LAX,CVG,291.51,XPO,295.24,1.28
917-452,91761,45215,LAX,CVG,301.97,XPO,310.24,2.74
917-460,91761,46060,LAX,IND,256.81,XPO,308.84,20.26
917-461,91761,46168,LAX,IND,259.13,XPO,308.84,19.18
917-462,91748,46268,LAX,IND,248.65,XPO,283.84,14.15
917-530,91748,53080,LAX,MKE,285.23,XPO,355.4,24.6
917-531,91761,53186,LAX,MKE,282.38,XPO,360.4,27.63
917-532,91730,53219,LAX,MKE,270.19,XPO,360.4,33.39
917-550,91761,55044,LAX,MSP,260.66,XPO,385.4,47.85
917-551,91748,55113,LAX,MSP,308.32,XPO,361.4,17.22
917-553,91761,55379,LAX,MSP,291.94,XPO,390.4,33.72
917-554,91752,55445,LAX,MSP,294.51,XPO,399.4,35.61
917-600,91761,60007,LAX,ORD,289.51,XPO,275.24,-4.93
917-601,91745,60144,LAX,ORD,265.04,XPO,297.24,12.15
917-604,91710,60440,LAX,ORD,238.85,XPO,292.24,22.35
917-605,91761,60502,LAX,ORD,262.96,XPO,299.24,13.8
917-606,91761,60632,LAX,ORD,259.66,XPO,290.24,11.78
917-700,91761,70037,LAX,MSY,390.34,FedEx Economy,365.0,-6.49
917-704,91748,70403,LAX,MSY,400.48,FedEx Economy,350.0,-12.6
917-705,91761,70508,LAX,LFT,378.26,FedEx Economy,365.0,-3.51
917-750,91761,75074,LAX,DFW,274.98,XPO,352.0,28.01
917-751,91748,75181,LAX,DFW,274.98,XPO,342.0,24.37
917-752,91748,75241,LAX,DFW,274.98,XPO,331.0,20.37
917-760,91761,76051,LAX,DFW,285.78,XPO,328.0,14.77
917-761,91761,76119,LAX,DFW,285.78,XPO,339.0,18.62
917-762,91761,76266,LAX,DFW,295.33,XPO,374.0,26.64
917-770,91752,77041,LAX,IAH,250.33,XPO,339.0,35.42
917-773,91710,77382,LAX,IAH,276.2,XPO,363.0,31.43
917-774,91761,77449,LAX,IAH,237.74,XPO,345.0,45.12
917-775,91761,77523,LAX,IAH,266.91,XPO,378.0,41.62
917-781,91761,78130,LAX,SAT,286.33,XPO,354.0,23.63
917-782,91789,78219,LAX,SAT,285.78,XPO,306.0,7.08
917-786,91730,78610,LAX,AUS,285.78,XPO,347.0,21.42
917-787,91761,78754,LAX,AUS,285.78,XPO,347.0,21.42
917-799,91748,79924,LAX,ELP,233.6,Forward,406.4,73.97
917-800,91761,80011,LAX,DEN,269.58,XPO,280.0,3.86
917-801,91761,80110,LAX,DEN,275.24,XPO,290.0,5.36
917-802,91752,80239,LAX,DEN,297.68,XPO,284.0,-4.6
917-834,91761,83440,LAX,SLC,321.86,FedEx Economy,504.0,56.59
917-836,91761,83642,LAX,SLC,284.02,FedEx Economy,255.0,-10.22
917-837,91748,83709,LAX,SLC,284.02,FedEx Economy,240.0,-15.5
917-838,91762,83860,LAX,SEA,351.2,XPO,770.0,119.25
917-840,91761,84043,LAX,SLC,260.58,FedEx Economy,244.0,-6.36
917-841,91761,84104,LAX,SLC,260.58,FedEx Economy,223.0,-14.42
917-843,91761,84341,LAX,SLC,261.65,R&L Carriers,321.0,22.68
917-844,91710,84404,LAX,SLC,260.87,R&L Carriers,269.0,3.12
917-846,91761,84660,LAX,SLC,260.58,FedEx Economy,215.0,-17.49
917-847,91761,84770,LAX,SLC,223.83,FedEx Economy,255.0,13.93
917-850,91761,85043,LAX,PHX,218.87,R&L Carriers,208.0,-4.97
917-851,91761,85142,LAX,PHX,221.71,XPO,265.0,19.53
917-852,91748,85254,LAX,PHX,218.87,R&L Carriers,222.0,1.43
917-853,91761,85395,LAX,PHX,218.87,R&L Carriers,213.0,-2.68
917-856,91761,85621,LAX,TUS,230.1,XPO,437.0,89.92
917-857,91748,85706,LAX,TUS,219.86,XPO,351.0,59.65
917-890,91761,89011,LAX,LAS,197.04,Forward,209.0,6.07
917-891,91761,89118,LAX,LAS,197.04,Forward,199.0,0.99
917-894,91748,89431,LAX,SMF,231.3,Oak Harbor Freight,372.0,60.83
917-895,91761,89521,LAX,SMF,231.3,Oak Harbor Freight,399.0,72.51
917-900,91752,90040,LAX,LAX,172.99,Forward,118.0,-31.79
917-902,91761,90220,LAX,LAX,185.1,Forward,119.0,-35.71
917-906,91761,90670,LAX,LAX,175.5,XPO,119.0,-32.19
917-907,91761,90723,LAX,LAX,157.39,Forward,119.0,-24.39
917-913,91761,91311,LAX,LAX,181.16,XPO,134.0,-26.03
917-917,91761,91730,LAX,LAX,179.5,XPO,141.0,-21.45
917-919,91761,91911,LAX,SAN,180.19,XPO,189.0,4.89
917-920,91761,92064,LAX,SAN,166.1,Forward,171.0,2.95
917-921,91761,92154,LAX,SAN,164.67,Forward,203.0,23.28
917-922,91761,92211,LAX,LAX,211.44,Oak Harbor Freight,206.0,-2.57
917-923,91761,92337,LAX,LAX,178.33,XPO,147.0,-17.57
917-925,91761,92571,LAX,LAX,178.33,XPO,165.0,-7.48
917-926,91761,92627,LAX,LAX,178.33,XPO,138.0,-22.62
917-927,91761,92705,LAX,LAX,178.59,XPO,137.0,-23.29
917-928,91761,92879,LAX,LAX,178.33,XPO,149.0,-16.45
917-930,91761,93012,LAX,LAX,203.24,XPO,149.0,-26.69
917-935,91761,93535,LAX,LAX,218.01,XPO,173.0,-20.65
917-940,91761,94080,LAX,SFO,224.23,R&L Carriers,215.0,-4.12
917-941,91761,94107,LAX,SFO,260.77,R&L Carriers,215.0,-17.55
917-945,91761,94544,LAX,SFO,231.47,R&L Carriers,205.0,-11.44
917-946,91761,94607,LAX,SFO,232.05,R&L Carriers,205.0,-11.66
917-950,91748,95050,LAX,SFO,226.13,XPO,200.0,-11.56
917-951,91761,95116,LAX,SFO,211.57,XPO,215.0,1.62
917-952,91761,95206,LAX,SMF,212.39,XPO,220.0,3.58
917-956,91761,95688,LAX,SMF,214.87,XPO,205.0,-4.59
917-957,91748,95742,LAX,SMF,215.91,Forward,190.0,-12.0
917-958,91752,95828,LAX,SMF,228.01,XPO,199.0,-12.72
917-970,91761,97062,LAX,PDX,300.83,R&L Carriers,264.0,-12.24
917-971,91761,97132,LAX,PDX,327.95,XPO,279.0,-14.93
917-972,91766,97218,LAX,PDX,300.83,R&L Carriers,252.0,-16.23
917-973,91761,97305,LAX,PDX,300.83,R&L Carriers,301.0,0.05
917-980,91752,98002,LAX,SEA,313.42,Forward,254.0,-18.96
917-981,91761,98134,LAX,SEA,313.42,Forward,279.0,-10.98
917-982,91761,98248,LAX,SEA,363.19,XPO,429.0,18.12
917-983,91761,98391,LAX,SEA,313.62,Forward,260.0,-17.1
917-984,91761,98499,LAX,SEA,313.42,Forward,260.0,-17.04
917-985,91761,98516,LAX,SEA,300.63,R&L Carriers,270.0,-10.19
917-986,91761,98682,LAX,PDX,270.29,Forward,260.0,-3.81
920-331,92014,33178,SAN,MIA,446.74,XPO,457.2,2.34
920-902,92081,90221,SAN,LAX,182.31,XPO,193.0,5.87
921-088,92154,08831,SAN,EWR,399.56,XPO,583.0,45.91
921-331,92154,33133,SAN,MIA,436.5,XPO,507.2,16.2
921-336,92154,33603,SAN,TPA,360.88,XPO,497.2,37.78
921-373,92154,37321,SAN,TYS,309.51,XPO,504.2,62.9
921-532,92154,53219,SAN,MKE,288.19,XPO,513.4,78.15
921-900,92123,90001,SAN,LAX,182.15,XPO,214.0,17.49
921-902,92154,90220,SAN,LAX,184.4,XPO,252.0,36.66
921-917,92126,91730,SAN,LAX,197.05,Forward,238.0,20.78
921-921,92154,92154,SAN,SAN,185.72,XPO,266.0,43.23
923-070,92337,07064,LAX,EWR,484.46,R&L Carriers,431.0,-11.03
923-088,92345,08831,LAX,EWR,391.46,XPO,463.0,18.27
923-100,92337,10014,LAX,JFK,584.69,FedEx Economy,444.0,-24.06
923-112,92337,11234,LAX,JFK,640.49,FedEx Economy,454.0,-29.12
923-113,92374,11378,LAX,JFK,547.51,ABF Freight,464.0,-15.25
923-190,92337,19020,LAX,PHL,306.88,XPO,457.0,48.92
923-191,92337,19154,LAX,PHL,276.22,XPO,459.0,66.17
923-221,92374,22191,LAX,IAD,503.93,XPO,364.8,-27.61
923-281,92337,28134,LAX,CLT,412.37,FedEx Economy,330.44,-19.87
923-282,92337,28262,LAX,CLT,335.84,XPO,353.44,5.24
923-300,92345,30043,LAX,ATL,334.27,XPO,382.8,14.52
923-302,92374,30213,LAX,ATL,340.39,XPO,359.8,5.7
923-328,92374,32824,LAX,MCO,389.51,XPO,352.8,-9.42
923-330,92337,33014,LAX,MIA,456.16,XPO,344.2,-24.54
923-331,92337,33178,LAX,MIA,424.38,XPO,357.2,-15.83
923-357,92374,35758,LAX,HSV,325.85,XPO,361.2,10.85
923-372,92374,37207,LAX,BNA,277.93,XPO,369.8,33.05
923-402,92374,40229,LAX,SDF,317.12,XPO,320.24,0.98
923-430,92337,43081,LAX,CMH,290.39,XPO,338.84,16.68
923-462,92374,46268,LAX,IND,268.11,XPO,318.84,18.92
