Origin 3-Digit,Dest 3-Digit,Origin Zip,Dest Zip,Lane Volume,Warp Rate,Cheapest Non-Warp Rate,Cheapest Non-Warp Carrier
305,331,30542,33182,444,$251.75,$249.44,AAA COOPER TRANSPORTATION
88,191,8861,19154,443,$142.07,$167.09,Pitt Ohio
923,986,92337,98682,441,$266.47,$344.3,XPO Logistics
300,282,30076,28208,441,$196.67,$189.55,AAA COOPER TRANSPORTATION
751,786,75172,78660,441,$234.37,$159.84,SOUTHWESTERN MOTOR TRANSPORT INC
917,837,91761,83706,440,$303.89,$366.72,XPO Logistics
925,331,92592,33182,440,$455.07,$394.86,XPO Logistics
906,802,90660,80239,439,$314.05,$375.7,Forward
331,750,33122,75040,439,$259.25,$208.33,AAA COOPER TRANSPORTATION
328,334,32809,33415,438,$221.19,$152.88,AAA COOPER TRANSPORTATION
601,432,60172,43229,437,$236.31,$208.24,DAYTON FREIGHT LINES INC
604,531,60446,53177,437,$276.04,$134.11,TAX AIRFREIGHT
70,114,7036,11434,436,$139.65,$167.21,JP Express
750,786,75006,78640,436,$228.44,$147.6,Vocar Transportation
906,330,90670,33009,435,$397.31,$446.33,XPO Logistics
852,917,85225,91730,435,$395.19,$183.23,Mountain Valley Express
752,750,75237,75006,434,$138.14,$132.84,Vocar Transportation
770,601,77029,60191,432,$233.66,$205.25,AAA COOPER TRANSPORTATION
70,601,7036,60160,431,$230.69,$231.54,WARD Trucking
917,952,91761,95206,430,$274.61,$256.51,Mountain Valley Express
773,770,77338,77020,430,$138.14,$140.22,Vocar Transportation
900,601,90058,60191,429,$314.98,$335.4,XPO Logistics
600,70,60007,7047,429,$235.31,$289.4,Ward Trucking
917,973,91761,97301,428,$266.95,$397.46,FedEx Economy
923,841,92337,84119,426,$294.63,$298.91,AAA COOPER TRANSPORTATION
461,601,46168,60176,426,$193.32,$158.83,Forward Air
928,852,92805,85260,424,$247.49,$231.48,Mountain Valley Express
902,913,90220,91343,424,$138.14,$125.52,GlovaLink
945,980,94538,98002,423,$234.04,$324.74,Forward Air
917,280,91748,28078,422,$371.9,$308.53,Forward
282,113,28206,11378,422,$264.8,$452.15,Forward
751,782,75172,78233,421,$234.37,$159.84,SOUTHWESTERN MOTOR TRANSPORT INC
917,180,91710,18031,420,$492.72,$478.02,STG LTL formerly Frontline Freight
774,774,77494,77493,419,$144.73,$140.22,Vocar Transportation
342,331,34243,33178,419,$214.38,$158.09,Specialized Freight Carriers
606,462,60630,46208,418,$193.32,$186.85,Ward Trucking
87,296,8701,29615,417,$234.13,$218.42,WARD Trucking
923,925,92337,92530,416,$148.18,$125.52,GlovaLink
604,604,60446,60446,415,$143,$122.26,TAX AIRFREIGHT
902,852,90221,85233,413,$244.14,$231.48,Mountain Valley Express
70,105,7036,10538,412,$138.44,$167.21,JP Express
331,339,33147,33916,412,$265.95,$152.76,AAA COOPER TRANSPORTATION
917,347,91748,34741,411,$389.84,$467.46,XPO Logistics
554,331,55439,33182,411,$275.54,$326.89,Forward
923,281,92337,28173,410,$387.02,$444.54,STG LTL formerly Frontline Freight
87,80,8701,8066,409,$183.62,$167.21,JP Express
970,980,97062,98001,408,$225.84,$175.79,PENINSULA TRUCK LINES
331,302,33166,30297,408,$205.41,$201.72,R&L Carriers
925,902,92507,90262,407,$162.35,$125.52,GlovaLink
452,331,45241,33182,407,$282.99,$398.81,WARD Trucking
770,850,77029,85034,406,$365.22,$227.09,Forward Air
300,300,30004,30084,406,$143,$176.28,Forward Air
87,604,8701,60455,406,$241.6,$236.59,R&L Carriers
180,70,18031,7047,405,$193.02,$188.33,Ward Trucking
900,330,90012,33054,404,$400.19,$475.9,STG LTL formerly Frontline Freight
70,85,7036,8512,404,$139.65,$167.21,JP Express
923,100,92337,10014,404,$453.35,$557.4,STG LTL formerly Frontline Freight
280,331,28034,33182,404,$230.67,$275.33,AAA COOPER TRANSPORTATION
751,331,75126,33178,403,$251.93,$411.98,AAA COOPER TRANSPORTATION
774,752,77489,75241,400,$198.99,$164.95,Vocar Transportation
601,553,60188,55315,400,$274.2,$188.5,Forward
770,902,77041,90221,400,$405.22,$357.55,ABF Freight
70,462,7092,46268,399,$212.89,$233.87,WARD Trucking
923,852,92337,85286,398,$250.25,$231.48,Mountain Valley Express
921,917,92154,91730,398,,$156.24,GlovaLink
750,850,75087,85040,398,$379.01,$244.03,AAA COOPER TRANSPORTATION
431,331,43125,33182,398,$282.99,$387.64,Forward Air
751,761,75126,76119,398,$144.43,$132.84,Vocar Transportation
88,85,8820,8512,396,$139.65,$167.21,JP Express
604,853,60446,85395,396,$382.2,$313.08,XPO Logistics
330,300,33025,30043,396,$198.21,$201.72,R&L Carriers
917,327,91761,32771,395,$405.14,$462.42,XPO Logistics
774,786,77489,78641,395,$238.99,$156.28,Vocar Transportation
301,300,30180,30062,395,$141.49,$184.31,AAA COOPER TRANSPORTATION
770,300,77092,30071,394,$229.32,$221.74,DAYLIGHT TRANSPORT
917,953,91761,95363,393,$286.46,$253.19,Mountain Valley Express
554,220,55414,22003,392,$268.07,$358.21,Dayton Freight Lines
70,115,7047,11590,391,$130.94,$167.21,JP Express
535,331,53562,33182,391,$332.32,$350.16,AAA COOPER TRANSPORTATION
601,402,60191,40216,390,$208.27,$191.76,Forward Air
917,190,91706,19020,389,$443.67,$464.58,XPO Logistics
906,600,90670,60007,389,$307.48,$353.76,XPO Logistics
210,331,21076,33182,389,$275.54,$347.5,WARD Trucking
774,782,77494,78260,388,$241.93,$164.95,Vocar Transportation
601,532,60123,53219,388,$260.57,$134.11,TAX AIRFREIGHT
850,331,85043,33178,388,$380.19,$451.42,STG LTL formerly Frontline Freight
303,787,30339,78729,388,$253.12,$227.27,AAA COOPER TRANSPORTATION
331,303,33122,30303,388,$200.79,$201.73,R&L Carriers
891,891,89115,89120,387,$133.52,$132.56,Mountain Valley Express
87,336,8701,33605,387,$281.83,$339.13,Specialized Freight Carriers
328,330,32809,33016,386,$200.79,$158.09,Specialized Freight Carriers
917,335,91789,33556,385,$403.54,$417.17,XPO Logistics
70,750,7092,75056,385,$274.2,$301.8,XPO Logistics
923,802,92345,80239,385,$360.25,$391.08,XPO Logistics
180,112,18015,11236,385,$166.97,$253.57,JP Express
923,981,92337,98103,384,$267.98,$444.54,STG LTL formerly Frontline Freight
89,331,8902,33178,384,$268.04,$271.31,Specialized Freight Carriers
787,331,78744,33182,384,$278.89,$319.28,AAA COOPER TRANSPORTATION
917,275,91762,27522,383,$387.2,$466.99,STG LTL formerly Frontline Freight
551,331,55110,33182,382,$268.04,$394.67,XPO Logistics
750,761,75050,76117,381,$138.14,$132.84,Vocar Transportation
913,331,91355,33178,381,$406.48,$478.18,STG LTL formerly Frontline Freight
605,600,60538,60007,379,$136.87,$122.26,TAX AIRFREIGHT
180,212,18015,21215,379,$428.59,$185.99,RL Carriers
194,331,19486,33182,379,$321.74,$335.35,XPO Logistics
906,913,90670,91311,378,$132.15,$125.52,GlovaLink
272,605,27263,60502,378,$221.86,$217.7,AAA COOPER TRANSPORTATION
786,760,78616,76085,378,$245.89,$173.04,DAYLIGHT TRANSPORT
330,336,33025,33603,377,$200.77,$158.09,Specialized Freight Carriers
85,605,8520,60502,376,$238.66,$231.54,WARD Trucking
917,851,91761,85142,375,$251.94,$248.14,TOTAL TRANSPORTATION DISTRIBUTION
88,330,8817,33014,375,$268.04,$271.31,Specialized Freight Carriers
70,76,7036,7647,375,$138.44,$167.09,Pitt Ohio
900,606,90001,60601,374,$319.6,$380.65,XPO Logistics
328,328,32808,32805,374,$133.52,$155.36,L&S Logistic Services
750,787,75041,78758,374,$234.37,$147.6,Vocar Transportation
921,921,92154,92154,373,$438.37,$156.24,GlovaLink
70,770,7026,77055,372,$265.19,$342.44,XPO Logistics
601,750,60130,75034,371,$244.3,$246.26,Forward Air
601,900,60123,90040,371,$405.22,$332.28,XPO Logistics
331,347,33178,34747,371,$205.41,$158.09,Specialized Freight Carriers
980,917,98031,91730,371,$260.66,$274.63,Oak Harbor Freight
600,606,60007,60632,370,$138.14,$122.26,TAX AIRFREIGHT
100,100,10001,10002,369,$130.64,$268.34,XPO
750,775,75041,77584,369,$240.5,$159.77,Vocar Transportation
87,243,8701,24348,369,$273.32,$255.34,Pitt Ohio
70,77,7002,7740,368,$139.65,$167.21,JP Express
852,331,85226,33182,368,$380.19,$403.18,XPO Logistics
601,104,60191,10451,367,$236.82,$499.42,STG LTL formerly Frontline Freight
87,432,8701,43232,367,$211.57,$187.19,Ward Trucking
282,902,28202,90210,366,$370.86,$392.68,STG LTL formerly Frontline Freight
88,115,8817,11590,365,$130.94,$167.21,JP Express
750,773,75019,77385,365,$228.14,$159.77,Vocar Transportation
907,902,90703,90220,365,$126.02,$125.52,GlovaLink
917,460,91761,46060,364,$357.3,$329.76,XPO Logistics
600,770,60007,77064,364,$242.79,$320.09,DAYLIGHT TRANSPORT
88,80,8854,8048,363,$134.57,$167.21,JP Express
902,920,90221,92081,362,,$156.24,GlovaLink
604,410,60446,41042,362,$211.62,$193.66,DAYTON FREIGHT LINES INC
770,336,77029,33605,362,$238.14,$233.82,AAA COOPER TRANSPORTATION
74,331,7430,33182,361,$281.83,$271.31,Specialized Freight Carriers
601,450,60172,45069,360,$214.4,$191.16,XPO Logistics
601,802,60130,80202,358,$300.96,$334.08,XPO Logistics
770,800,77029,80011,358,$254.72,$287.36,AAA COOPER TRANSPORTATION
606,100,60612,10006,358,$227.81,$459.13,FedEx Priority
272,221,27263,22191,358,$205.28,$188.65,Pitt Ohio
199,900,19904,90040,358,$815.67,$430.15,STG LTL formerly Frontline Freight
917,532,91752,53219,357,$428.73,$347.69,XPO Logistics
923,926,92337,92618,357,$144.55,$125.52,GlovaLink
750,917,75006,91730,356,$410.14,$326.72,XPO Logistics
787,770,78759,77032,356,$231.02,$121.03,Vocar Transportation
917,370,91789,37090,355,$402.2,$375.74,XPO Logistics
923,786,92345,78634,355,$443.97,$338.26,XPO Logistics
606,770,60601,77001,355,$230.67,$326.2,WARD Trucking
604,301,60446,30135,354,$246.14,$240.04,AAA COOPER TRANSPORTATION
300,372,30071,37210,353,$241.52,$176.33,Forward Air
601,88,60123,8831,352,$229.32,$285.83,Ward Trucking
902,841,90220,84109,352,$288.52,$276.86,Forward
761,917,76111,91730,352,$410.14,$330.18,XPO Logistics
850,850,85043,85043,352,$133.52,$132.56,Mountain Valley Express
327,331,32703,33178,352,$193.29,$158.09,Specialized Freight Carriers
604,605,60433,60502,351,$144.43,$122.26,TAX AIRFREIGHT
88,410,8854,41048,350,$200.77,$215.82,WARD Trucking
70,207,7080,20794,350,$395.14,$198.67,WARD Trucking
70,333,7072,33317,350,$274.17,$271.31,Specialized Freight Carriers
913,902,91311,90221,350,$136.87,$125.52,GlovaLink
601,100,60191,10022,349,$235.31,$435.47,FedEx Priority
923,840,92336,84070,349,$294.63,$312.12,AAA COOPER TRANSPORTATION
770,330,77001,33014,349,$245.64,$250.22,AAA COOPER TRANSPORTATION
191,191,19153,19114,349,$196.95,$165.61,Pitt Ohio
303,303,30336,30336,348,$133.52,$182.38,Forward Air
331,601,33178,60174,348,$272.69,$221.14,AAA COOPER TRANSPORTATION
296,302,29644,30297,347,$208.76,$190.55,AAA COOPER TRANSPORTATION
331,88,33172,8817,347,$282.74,$232.55,Specialized Freight Carriers
923,302,92337,30297,346,$403.45,$438.94,XPO Logistics
770,700,77087,70037,346,$309.6,$220.4,AAA COOPER TRANSPORTATION
841,841,84104,84104,346,$133.52,$151.98,Forward Air
330,770,33020,77036,345,$250.24,$294.49,DAYLIGHT TRANSPORT
70,282,7026,28206,344,$215.72,$238.26,Ward Trucking
926,917,92618,91730,344,$144.73,$125.52,GlovaLink
750,751,75041,75115,344,$141.49,$132.84,Vocar Transportation
331,337,33178,33716,344,$208.27,$158.09,Specialized Freight Carriers
917,452,91745,45242,343,$350.98,$388.58,XPO Logistics
906,70,90660,7065,343,$442.62,$475.9,STG LTL formerly Frontline Freight
604,606,60446,60611,342,$141.49,$122.26,TAX AIRFREIGHT
300,770,30004,77018,342,$234.04,$244.3,DAYLIGHT TRANSPORT
